table_name,column_name,data_type,is_nullable
cameras,id,integer,NO
cameras,birim,text,YES
cameras,kamera_marka,text,YES
cameras,kamera_model,text,YES
cameras,kamera_seri_no,text,YES
cameras,qr_kod,text,YES
cameras,barkod,text,YES
cameras,ilk_garanti_tarihi,date,YES
cameras,son_garanti_tarihi,date,YES
computers,id,integer,NO
computers,birim,text,YES
computers,unvan,text,YES
computers,adi_soyadi,text,YES
computers,sicil_no,text,YES
computers,kasa_marka,text,YES
computers,kasa_model,text,YES
computers,kasa_seri_no,text,YES
computers,qr_kod,text,YES
computers,barkod,text,YES
computers,ilk_temizlik_tarihi,date,YES
computers,son_temizlik_tarihi,date,YES
computers,ilk_garanti_tarihi,date,YES
computers,son_garanti_tarihi,date,YES
e_durusma,id,integer,NO
e_durusma,birim,text,YES
e_durusma,edurusma_marka,text,YES
e_durusma,edurusma_model,text,YES
e_durusma,edurusma_seri_no,text,YES
e_durusma,qr_kod,text,YES
e_durusma,barkod,text,YES
e_durusma,ilk_garanti_tarihi,date,YES
e_durusma,son_garanti_tarihi,date,YES
laptops,id,integer,NO
laptops,birim,text,YES
laptops,unvan,text,YES
laptops,adi_soyadi,text,YES
laptops,sicil_no,text,YES
laptops,laptop_marka,text,YES
laptops,laptop_model,text,YES
laptops,laptop_seri_no,text,YES
laptops,qr_kod,text,YES
laptops,barkod,text,YES
laptops,ilk_garanti_tarihi,date,YES
laptops,son_garanti_tarihi,date,YES
microphones,id,integer,NO
microphones,birim,text,YES
microphones,mikrofon_marka,text,YES
microphones,mikrofon_model,text,YES
microphones,mikrofon_seri_no,text,YES
microphones,qr_kod,text,YES
microphones,barkod,text,YES
microphones,ilk_garanti_tarihi,date,YES
microphones,son_garanti_tarihi,date,YES
printers,id,integer,NO
printers,birim,text,YES
printers,yazici_marka,text,YES
printers,yazici_model,text,YES
printers,yazici_seri_no,text,YES
printers,qr_kod,text,YES
printers,barkod,text,YES
printers,ilk_garanti_tarihi,date,YES
printers,son_garanti_tarihi,date,YES
scanners,id,integer,NO
scanners,birim,text,YES
scanners,tarayici_marka,text,YES
scanners,tarayici_model,text,YES
scanners,tarayici_seri_no,text,YES
scanners,qr_kod,text,YES
scanners,barkod,text,YES
scanners,ilk_garanti_tarihi,date,YES
scanners,son_garanti_tarihi,date,YES
screens,id,integer,NO
screens,birim,text,YES
screens,unvan,text,YES
screens,adi_soyadi,text,YES
screens,sicil_no,text,YES
screens,ekran_marka,text,YES
screens,ekran_model,text,YES
screens,ekran_seri_no,text,YES
screens,qr_kod,text,YES
screens,barkod,text,YES
screens,ilk_garanti_tarihi,date,YES
screens,son_garanti_tarihi,date,YES
segbis,id,integer,NO
segbis,birim,text,YES
segbis,segbis_marka,text,YES
segbis,segbis_model,text,YES
segbis,segbis_seri_no,text,YES
segbis,qr_kod,text,YES
segbis,barkod,text,YES
segbis,ilk_garanti_tarihi,date,YES
segbis,son_garanti_tarihi,date,YES
tvs,id,integer,NO
tvs,birim,text,YES
tvs,tv_marka,text,YES
tvs,tv_model,text,YES
tvs,tv_seri_no,text,YES
tvs,qr_kod,text,YES
tvs,barkod,text,YES
tvs,ilk_garanti_tarihi,date,YES
tvs,son_garanti_tarihi,date,YES
users,id,uuid,NO
users,email,text,NO
users,ad_soyad,text,NO
users,telefon,text,YES
users,departman,text,YES
users,konum,text,YES
users,sifre,text,NO
users,created_at,timestamp with time zone,NO
users,updated_at,timestamp with time zone,NO
mahkeme_kalemleri,id,int,NO
mahkeme_kalemleri,mahkeme_turu,varchar,YES
mahkeme_kalemleri,mahkeme_no,varchar,YES
mahkeme_kalemleri,blok,varchar,YES
mahkeme_kalemleri,kat,varchar,YES
mahkeme_kalemleri,mahkeme_hakimi,varchar,YES
